第27回東工大経済物理学セミナー,,2009.05.09,,山田 健太(東京工業大学 総合理工学研究科 知能システム科学専攻),,閾値型ディーラーモデルによる金融市場の統計性の再現とその実践的応用,,./pdf/seminar/27th_Dr_Yamada.pdf,,鈴木 智也(茨城大学 工学部 准教授),,多変量非線形システムの構造推定と予測モデルの動的最適化-経済システムを例として,,./pdf/seminar/27th_Dr_Suzuki.pdf,,相馬 亘(日本大学 理工学部 准教授),,ネットワーク科学の経済への応用についていろいろ思うこと,,./pdf/seminar/27th_Dr_Souma.pdf,,浜田 宏一(Yale大学 経済学部 教授)<br><br><br><br>,,『経済物理』からエコノミストは何を学ぶか？,,./pdf/seminar/27th_Dr_Hamada.pdf
第26回東工大経済物理学セミナー,,2008.11.01,,渡邊 隼史(東京工業大学 大学院総合理工学研究科 知能システム科学専攻),,ランダム乗算過程の和の示す極限分布と企業財務情報の統計性,,,,奥村 学(東京工業大学 精密工学研究所 知能化工学部門),,ブログを対象としたテキストマイニングと、実世界動向との関係分析,,./pdf/seminar/26th_Dr_Okumura.pdf,,田崎 晴明(学習院大学 理学部 物理学教室),,非平衡定常系の物理学にむけて,,./pdf/seminar/26th_Dr_Tasaki.pdf
第25回東工大経済物理学セミナー,,2008.08.02,,小西 葉子(独立行政法人 経済産業研究所),,ランクサイズ回帰の検定について,,./pdf/seminar/25th_Dr_Konishi.pdf,,渡辺 広太(東京工業大学 大学院総合理工学研究科 知能システム科学専攻),,時変係数を持つLangevin系としての金融市場と"負の粘性",,./pdf/seminar/25th_Watanabe.pdf,,後藤 俊幸(名古屋工業大学大学院 創成シミュレーション工学専攻 教授),,乱流におけるゆらぎの統計法則と計算科学,,./pdf/seminar/25th_Dr_Goto.pdf
第24回東工大経済物理学セミナー,,2008.05.24</fonat>,,Yukie Sano(Department of Computational Intelligence & Systems Science, Interdisciplinary Graduate School of Science & Engineering, Tokyo Institute of Technology),,Statistical properties of number fluctuations observed in Internet blog keywords,,./pdf/seminar/24th_Sano.pdf,,Ernesto Estrada(Complex Systems Research Group X-Ray Unit RIAIDT-Structural Studies Area Edificio CACTUS. University of Santiago de Compostela 15782 Santiago de Compostela),,Centrality and Communities in Complex Socio-Economic Networks,,./pdf/seminar/24th_Dr_Estrada.pdf,,Tsutomu Watanabe(Research Center for Price Dynamics Hitotsubashi University),,Stickiness in Housing Rents: New Evidence from Shukan Jutaku Joho,,./pdf/seminar/24th_Dr_Watanabe.pdf
第23回東工大経済物理学セミナー,,2008.04.19,,中野 徹(中央大学 理工学研究科 物理学専攻 教授),,乱流現象と経済物理,,./pdf/seminar/23th_Dr_Nakano.pdf,,笹本 智弘(千葉大学 理学研究科 基盤理学専攻 数学・情報数理学コース 准教授),,1次元KPZ界面成長モデルの揺らぎ,,./pdf/seminar/23th_Dr_Sasamoto.pdf,,藤原 義久(NiCT/ATR CIS 応用ネットワーク科学),,生産ネットワークの大規模構造と連鎖倒産,,./pdf/seminar/23th_Dr_Fujiwara.pdf
第22回東工大経済物理学セミナー,,2008.02.16,,上野 弘道(東京工業大学 大学院総合理工学研究科 知能システム科学専攻),,高頻度POSデータを用いたスーパーマーケットの統計解析,,,,藤本 仰一(科学技術振興機構 ERATO複雑系生命プロジェクト,,パタン形成のネットワーク進化,,./pdf/seminar/22th_Dr_Fujimoto.pdf,,佐藤 忠彦(筑波大学 大学院ビジネス科学研究科 准教授),,マーケティング活動高度化のための動的販売データ活用,,./pdf/seminar/22th_Dr_Sato.pdf
第21回東工大経済物理学セミナー,,2007.12.21,,渡邊 隼史(東京工業大学 大学院総合理工学研究科 知能システム科学専攻),,ランダム乗算過程のくりこみと企業成長モデル,,./pdf/seminar/21th_Watanabe.pdf,,大西 立顕(東京大学 大学院法学政治学研究科 助教),,ネットワーク構造による企業の特徴づけ,,./pdf/seminar/21th_Dr_Ohnishi.pdf,,有光 敏彦(筑波大学 大学院数理物質科学研究科 教授),,大偏差を呈する系のマルティフラクタルpdf解析とその周辺‐乱流を中心として‐,,./pdf/seminar/21th_Dr_Arimitsu.pdf
第20回東工大経済物理学セミナー,,2007.11.06,,Bertrand M. Roehner(Institute for Theoretical and High Energy Physics, University of Paris),,Econophysics: challenges and promises,,./pdf/seminar/20th_Dr_Roehner.pdf,,伊藤 伸泰(東京大学 大学院工学 系研究科 物理工学専攻 工業力学講座),,A Model of Ecoevolution,,./pdf/seminar/20th_Dr_Ito.pdf,,Luciano Pietronero(Department of Physics, University La Sapienza, Rome and Institute of Complex Systems, CNR, Rome),,Selforganization in a Critical State and Stylized Facts in AgentBased Models,,./pdf/seminar/20th_Dr_Pietronero.pdf
第19回東工大経済物理学セミナー,,2007.10.20,,渡辺 広太(東京工業大学 大学院総合理工学研究科 知能システム科学専攻),,金融市場において観測される高次ポテンシャルとその性質,,./pdf/seminar/19th_Watnabe.pdf,,三浦 均(武蔵野美術大学 映像学科 准教授),,サイエンスとアートのはざま,,./pdf/seminar/19th_Dr_Miura.pdf,,副島 豊(日本銀行 金融研究所 ファイナンス担当総括 企画役),,コール市場の資金取引ネットワーク,,./pdf/seminar/19th_Dr_Soejima.pdf
第18回東工大経済物理学セミナー,,2007.04.28,,中村 知道(ソニーCSL),,時系列モデリングとサロゲート法,,./pdf/seminar/18th_Dr_Nakamura.pdf,,渡辺 努(一橋大学 経済研究所 教授)<br>齊藤 有希子(富士通総研),,バーコードから見た物価ダイナミクス,,./pdf/seminar/18th_Dr_Watanabe.pdf,,高安 秀樹(ソニーCSLシニアリサーチャー),,聖ペテルスブルクののパラドックスとランダム乗算過程のくりこみ理論,,,,樺島 祥介(東京工業大学 大学院総合理工学研究科 知能システム科学専攻 教授),,More is different の話,,./pdf/seminar/18th_Dr_Kabashima.pdf
第17回東工大経済物理学セミナー,,2007.03.24,,栗原 祥子,,銀行のリスク管理の動向,,./pdf/seminar/17th_Dr_Kurihara.pdf,,菅原 琢磨(国立保健医療科学院 経営科学部 サービス評価室長),,医療・介護分野におけるデータ分析の現状と政策的課題,,./pdf/seminar/17th_Dr_Sugawara.pdf,,増田 直紀(東京大学 大学院情報理工学研究科 数理情報学専攻 講師),,ネットワーク上のじゃんけん,,./pdf/seminar/17th_Dr_Masda.pdf
第16回東工大経済物理学セミナー,,2007.01.27,,水野 貴之(東京工業大学 総合理工学研究科 知能システム科学専攻 PD),,経済データから読み取れる人間の行動,,,,春野 雅彦(ATR 脳情報研究所 計算神経生物学研究室),,意思決定の脳科学と神経経済学,,./pdf/seminar/16th_Dr_Haruno.pdf,,西成 活裕(東京大学 大学院工学系研究科 航空宇宙工学専攻 助教授),,「渋滞学」とは何か,,./pdf/seminar/16th_Dr_Nishinari.pdf
第15回東工大経済物理学セミナー,,2006.12.15,,大藤 健太(電力中央研究所 協力研究員, 会津大学 大学院コンピュータ理工学研究科),,もと電力実務者からみた経済物理学への期待(最近の話題等をまじえて),,,,南部 鶴彦(学習院大学 大学院経済学研究科 教授),,置換群の概念による産業構造の分析,,,,<font size="2" face="Time New Roman">Tribelsky Michael Isaac(東京大学 大学院数理科学研究科 客員教授),,Dynamical chaos in finance and physics: New aspects,,
第14回東工大経済物理学セミナー,,2006.11.04,,山田 隆志(東京工業大学 総合理工学研究科 知能システム科学専攻 助手),,Pricing Perpetual Bermudan Options,,,,羽田野 直道(東京大学 生産技術研究所 助教授),,複雑ネットワークの固有値解析,,,,岩井 克人(東京大学 大学院経済学研究科 教授),,人文科学社会科学もなぜ＜科学＞であるのか？ーー貨幣・法・言語と人間,,
第13回東工大経済物理学セミナー,,2006.09.25,,大西 立顕(東京大学 大学院法学政治学研究科 助手),,外国為替市場における需給バランスと価格変動,,./pdf/seminar/13th_Dr_Ohnishi.pdf,,増川 純一(福山平成大学 経営学部 経営情報学科 教授),,株式市場におけるオーダーフローの実証的研究とそのモデル,,./pdf/seminar/13th_Dr_Maskawa.pdf,,岡崎 哲二(東京大学 大学院経済学研究科 教授)<br>澤田 充(名古屋学院大学 経済学部 経済学科 講師),,戦間期日本の銀行間ネットワークと金融システム,,../pdf/seminar/13th_Dr_Okazaki.pdf,,
第12回東工大経済物理学セミナー,,2006.07.29,,上野 弘道(東京工業大学 総合理工学研究科 知能システム科学専攻),,日本の銀行の統廃合ネットワークの解析,,,,水野 貴之(東京工業大学 総合理工学研究科 知能システム科学専攻 PD),,市場に潜む中心力ポテンシャルと板情報の関係,,,,齊藤 有希子(富士通総研),,中小企業を含む企業間関係のネットワーク,,,,吉川 洋(東京大学大学院 経済学研究科 教授)<br><br><br><br>,,経済学と物理学との対話,,
第11回東工大経済物理学セミナー,,2006.06.03,,内藤 悟史(中央大学 大学院理工学研究科 物理学専攻),,株価に影響を与える需給バランスの統計性,,,,海蔵寺 大成(国際基督教大学 教養学部 社会科学科 教授),,市場変動と市場構造の経済物理学的理解,,,,山本 義春(東京大学 大学院教育学研究科 身体教育学コース 教授),,心拍ゆらぎと健康,,
第10回東工大経済物理学セミナー,,2006.03.18,,尹 煕元(株式会社CMDリサーチ 取締役),,物理で市場を考えると・・・,,,,倉都 康行(リサーチアンドプライシングテクノロジー株式会社 代表),,貯蓄から投資へ向かう時代の金融の変化,,,,伊藤 隆敏(東京大学 大学院経済学研究科 教授)<br>橋本 優子(東洋大学 経済学部 国際経済学科 助教授),,外国為替市場のマイクロストラクチャーとEBSデータ,,
第9回東工大経済物理学セミナー,,2006.01.26,,渡辺 広太(東京工業大学 総合理工学研究科 知能システム科学専攻),,指数発散を伴う変動に対する非定常成分の分離,,,,相馬 亘(ATR・ネットワーク情報学研究所),,経済をネットワークとして理解する試み A trial to understand economy as a network,,
第8回東工大経済物理学セミナー,,2005.12.10,,和泉 潔(産業技術総合研究所),,Socially embedded simulationの提案,,,,香取 眞理(中央大学 大学院理工学研究科 物理学専攻 教授),,ランダム行列理論と非衝突ブラウン運動,,,,青木 正直(UCLA経済学部 教授),,Some examples in reconstructing macroeconomics from a perspective of statistical physics and combinatorial stochastic processes,,
第7回東工大経済物理学セミナー,,2005.10.26,,山田 健太(東京工業大学 総合理工学研究科 知能システム科学専攻),,閾値型ディーラーモデルによる為替市場のシミュレーション,,,,渡部 敏明(日本銀行 金融研究所 シニアフェロー),,Measuring, Modeling and Forecasting Realized Volatility in the Nikkei 225 Stock Index Futures Market,,,,五百旗頭 正((株)複雑系応用技術研究所 代表),,カオスを用いた金融相場予測とデイトレーディング -日経平均先物および日本国債先物への応用-,,
第6回東工大経済物理学セミナー,,2005.09.26,,熊谷 善彰(早稲田大学 教育学部 総合科学学術院 助教授),,金融市場における価格変動の値幅と時間,,,,井庭 崇(慶應義塾大学 総合政策学部 専任講師),,PlatBoxによるシミュレーション研究と経済物理学,,,,海蔵寺 大成(国際基督教大学 教養学部 社会科学科 教授),,暴落のメカニズム,,
第5回東工大経済物理学セミナー,,2005.08.31,,佐藤 彰洋(京都大学 情報学研究科 数理工学専攻 助手),,金融市場のゆらぎとエージェントモデル,,,,齊藤 有希子(富士通総研),,企業成長の履歴効果について,,,,水野 貴之(東京工業大学 総合理工学研究科 知能システム科学専攻),,金融市場に潜む時間の矢,,
第4回東工大経済物理学セミナー,,2005.07.28,,饗場 行洋(東京大学 生産技術研究所 PD),,日本の株式市場の二相的振舞,,,,大西 立顕(東京大学 法学政治学研究科 助手),,円ドル為替変動におけるトレンドの検出,,,,高安 秀樹(ソニーCSL シニアリサーチャー),,NON-GAUSSIAN DISTRIBUTION IN RANDOM TRANSPORT DYNAMICS,,
第3回東工大経済物理学セミナー,,2005.06.30,,渡辺 努(一橋大学 経済研究所 教授),,Monetary and Fiscal Policy in a Liquidity Trap：The Japanese Experience 1994-2004,,,,高安 美佐子(東京工業大学 総合理工学研究科 知能システム科学専攻 助教授),,市場に潜む中心力ポテンシャル--市場からポテンシャルを見出す方法,,,,水野 貴之(東京工業大学 総合理工学研究科 知能システム科学専攻 PD),,市場に潜む中心力ポテンシャル--ポテンシャル解析の具体例とその応用,,,,高安 秀樹(ソニーCSL シニアリサーチャー),,市場に潜む中心力ポテンシャル--ミクロからマクロへのスケール変換,,
第2回東工大経済物理学セミナー,,2005.05.19,,森谷 博之(オックスフォード ファイナンシャル エデュケーション 代表),,ドル円市場の価格決定要因：2005年のドル円相場はこうなる!,,,,山崎 和子(東京情報大学 総合環境学部 環境情報学科 教授),,A Generalized Preferential Attachment Model for Complex Systems<br>～投機市場における新たなスケール普遍性と、価格変動リスク～,,,,海野 一則(東京工業大学 総合理工学研究科 知能システム科学専攻),,統計的優位に予測可能なマーケットアノマリー,,
第1回東工大経済物理学セミナー,,2005.04.21,,高安 秀樹(ソニーCSL シニアリサーチャー),,アジアバスケット通貨構想について,,,,大西 立顕(東京大学 大学院法学政治学研究科 助手),,為替市場における最適移動平均と価格変動,,,,水野 貴之(東京工業大学 総合理工学研究科 知能システム科学専攻 PD),,企業所得におけるゆらぎの統計性,,
